POA_CODE_INNER,Suburb,CriteriaProportion,Yrows,Xcols
POA2017,Waterloo DC,1.075410236,1,1
POA2010,Surry Hills ,1.113748975,1,2
POA2000,Sydney CBD,0.94968477,1,3
POA2015,Alexandria,1.095861683,1,4
POA2038,Annandale,0.963606286,2,1
POA2050,Camperdown,1.112245038,2,2
POA2021,Paddington,0.970932515,2,3
POA2008,Chippendale,1.002027717,2,4
POA2011,Rushcutters Bay,1.113957127,3,1
POA2043,Erskineville,1.085051185,3,2
POA2037,Glebe,0.985762261,3,3
POA2042,Newtown,1.048703644,3,4
POA2009,Pyrmont,1.081228178,4,1
POA2016,Redfern,1.062504929,4,2
POA2018,Eastlakes,0.834479875,4,3
POA2007,Ultimo ,0.931983006,4,4
